crawl,mimetype,pages,urls,%pages/crawl
CC-MAIN-2012,application/vnd.openxmlformats-officedocument.presentationml.presentation,38672,38341,0.0010
CC-MAIN-2012,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,27214,27040,0.0007
CC-MAIN-2012,application/vnd.openxmlformats-officedocument.wordprocessingml.document,151358,150626,0.0040
CC-MAIN-2012,application/vnd.wap.xhtml+xml,30850,28700,0.0008
CC-MAIN-2012,application/x-bibtex,185,184,0.0000
CC-MAIN-2012,application/x-bittorrent,155973,154651,0.0041
CC-MAIN-2012,application/x-bzip2,114685,113167,0.0030
CC-MAIN-2012,application/x-debian-package,95469,95283,0.0025
CC-MAIN-2012,application/x-download,37255,36811,0.0010
CC-MAIN-2012,application/x-endnote-refer,5765,5686,0.0002
CC-MAIN-2012,application/x-gzip,559197,554962,0.0146
CC-MAIN-2012,application/x-httpd-php,172430,169721,0.0045
CC-MAIN-2012,application/x-java-jnlp-file,7906,7617,0.0002
CC-MAIN-2012,application/x-javascript,21166615,20995252,0.5529
CC-MAIN-2012,application/x-json,76,76,0.0000
CC-MAIN-2012,application/x-mobipocket-ebook,14801,14352,0.0004
CC-MAIN-2012,application/x-msdownload,26458,25154,0.0007
CC-MAIN-2012,application/x-netcdf,4464,4425,0.0001
CC-MAIN-2012,application/x-rar-compressed,249901,246960,0.0065
CC-MAIN-2012,application/x-research-info-systems,341,339,0.0000
CC-MAIN-2012,application/x-shockwave-flash,848694,834015,0.0222
CC-MAIN-2012,application/x-tar,82765,82091,0.0022
CC-MAIN-2012,application/x-tex,24961,24707,0.0007
CC-MAIN-2012,application/x-troff-man,11980,11929,0.0003
CC-MAIN-2012,application/x-zip-compressed,426199,424310,0.0111
CC-MAIN-2012,application/xhtml+xml,2814799,2650293,0.0735
CC-MAIN-2012,application/xml,5008141,4684319,0.1308
CC-MAIN-2012,application/zip,1585432,1567787,0.0414
CC-MAIN-2012,audio/mp3,3427,3386,0.0001
CC-MAIN-2012,audio/mpeg,203080,199300,0.0053
CC-MAIN-2012,audio/x-mpegurl,420104,416988,0.0110
CC-MAIN-2012,audio/x-pn-realaudio,22504,22097,0.0006
CC-MAIN-2012,audio/x-scpls,18416,17650,0.0005
CC-MAIN-2012,audio/x-wav,28500,28379,0.0007
CC-MAIN-2012,binary/octet-stream,99942,92075,0.0026
CC-MAIN-2012,image/gif,1106754,1084096,0.0289
CC-MAIN-2012,image/jp2,184,184,0.0000
CC-MAIN-2012,image/jpeg,14090322,13945877,0.3680
CC-MAIN-2012,image/jpg,119061,118093,0.0031
CC-MAIN-2012,image/pjpeg,122955,121096,0.0032
CC-MAIN-2012,image/png,1205276,1182794,0.0315
CC-MAIN-2012,image/svg+xml,34266,33439,0.0009
CC-MAIN-2012,image/tiff,16354,16328,0.0004
CC-MAIN-2012,image/vnd.djvu,42972,42700,0.0011
CC-MAIN-2012,image/webp,14377,14374,0.0004
CC-MAIN-2012,message/rfc822,79249,78778,0.0021
CC-MAIN-2012,text/calendar,337508,330475,0.0088
CC-MAIN-2012,text/css,22831268,22745136,0.5963
CC-MAIN-2012,text/csv,35875,35174,0.0009
CC-MAIN-2012,text/directory,14497,12674,0.0004
CC-MAIN-2012,text/enriched,526,522,0.0000
CC-MAIN-2012,text/html,3533120134,3322995305,92.2837
CC-MAIN-2012,text/javascript,2744495,2715954,0.0717
CC-MAIN-2012,text/pdf,590,589,0.0000
CC-MAIN-2012,text/plain,10699434,10507977,0.2795
CC-MAIN-2012,text/prs.lines.tag,3961,3941,0.0001
CC-MAIN-2012,text/tab-separated-values,776,765,0.0000
CC-MAIN-2012,text/turtle,584,501,0.0000
CC-MAIN-2012,text/vcard,1488,1434,0.0000
CC-MAIN-2012,text/x-bibtex,20344,20231,0.0005
CC-MAIN-2012,text/x-c,37948,37377,0.0010
CC-MAIN-2012,text/x-csrc,20525,20162,0.0005
CC-MAIN-2012,text/x-diff,26716,26168,0.0007
CC-MAIN-2012,text/x-patch,1997,1993,0.0001
CC-MAIN-2012,text/x-perl,10567,10382,0.0003
CC-MAIN-2012,text/x-vcalendar,56974,54642,0.0015
CC-MAIN-2012,text/x-vcard,151185,148298,0.0039
CC-MAIN-2012,text/xml,80074779,63065590,2.0915
CC-MAIN-2012,unknown/unknown,11085,10933,0.0003
CC-MAIN-2012,video/mp4,300424,285876,0.0078
CC-MAIN-2012,video/webm,4114,4092,0.0001
CC-MAIN-2012,video/x-ms-asf,220741,217061,0.0058
CC-MAIN-2013-20,<other>,1776122,1694963,0.0989
CC-MAIN-2013-20,application/atom+xml,2683814,2649369,0.1494
CC-MAIN-2013-20,application/download,30547,29866,0.0017
CC-MAIN-2013-20,application/epub+zip,35274,34361,0.0020
CC-MAIN-2013-20,application/force-download,44903,42965,0.0025
CC-MAIN-2013-20,application/javascript,186,182,0.0000
CC-MAIN-2013-20,application/json,139341,132552,0.0078
CC-MAIN-2013-20,application/ld+json,5,5,0.0000
CC-MAIN-2013-20,application/marc,9861,9785,0.0005
CC-MAIN-2013-20,application/msword,92771,89728,0.0052
CC-MAIN-2013-20,application/octet-stream,735440,716240,0.0409
CC-MAIN-2013-20,application/octetstream,12736,12648,0.0007
CC-MAIN-2013-20,application/pdf,2911626,2768018,0.1621
CC-MAIN-2013-20,application/pgp-encrypted,2461,2449,0.0001
CC-MAIN-2013-20,application/pgp-signature,25296,24969,0.0014
CC-MAIN-2013-20,application/postscript,7071,6952,0.0004
CC-MAIN-2013-20,application/rdf+xml,68517,67805,0.0038
CC-MAIN-2013-20,application/rss+xml,3109748,2934616,0.1731
CC-MAIN-2013-20,application/rtf,2209,2173,0.0001
CC-MAIN-2013-20,application/save-to-disk,32894,32763,0.0018
CC-MAIN-2013-20,application/text,27585,27219,0.0015
CC-MAIN-2013-20,application/unknown,12190,11925,0.0007
CC-MAIN-2013-20,application/vnd.android.package-archive,2120,2094,0.0001
CC-MAIN-2013-20,application/vnd.google-earth.kml+xml,150822,143737,0.0084
CC-MAIN-2013-20,application/vnd.google-earth.kmz,36513,36184,0.0020
CC-MAIN-2013-20,application/vnd.ms-excel,51246,50169,0.0029
CC-MAIN-2013-20,application/vnd.ms-powerpoint,58991,51631,0.0033
CC-MAIN-2013-20,application/vnd.ms-word,14047,13596,0.0008
CC-MAIN-2013-20,application/vnd.oasis.opendocument.text,2936,2882,0.0002
CC-MAIN-2013-20,application/vnd.openxmlformats-officedocument.presentationml.presentation,2215,2140,0.0001
CC-MAIN-2013-20,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2487,2280,0.0001
CC-MAIN-2013-20,application/vnd.openxmlformats-officedocument.wordprocessingml.document,14276,13657,0.0008
CC-MAIN-2013-20,application/vnd.wap.xhtml+xml,71372,66624,0.0040
CC-MAIN-2013-20,application/x-bibtex,22336,22246,0.0012
CC-MAIN-2013-20,application/x-bittorrent,19361,19207,0.0011
CC-MAIN-2013-20,application/x-bzip2,7696,7386,0.0004
CC-MAIN-2013-20,application/x-debian-package,112500,111690,0.0063
CC-MAIN-2013-20,application/x-download,17485,16379,0.0010
CC-MAIN-2013-20,application/x-endnote-refer,42226,41608,0.0024
CC-MAIN-2013-20,application/x-gzip,38993,38555,0.0022
CC-MAIN-2013-20,application/x-httpd-php,9463,9334,0.0005
CC-MAIN-2013-20,application/x-java-jnlp-file,10316,9354,0.0006
CC-MAIN-2013-20,application/x-javascript,2194,2086,0.0001
CC-MAIN-2013-20,application/x-json,20684,20548,0.0012
CC-MAIN-2013-20,application/x-mobipocket-ebook,11214,10589,0.0006
CC-MAIN-2013-20,application/x-msdownload,4288,3925,0.0002
CC-MAIN-2013-20,application/x-netcdf,12329,12224,0.0007
CC-MAIN-2013-20,application/x-rar-compressed,1985,1920,0.0001
CC-MAIN-2013-20,application/x-research-info-systems,40871,40665,0.0023
CC-MAIN-2013-20,application/x-shockwave-flash,24818,24108,0.0014
CC-MAIN-2013-20,application/x-tar,6149,6075,0.0003
CC-MAIN-2013-20,application/x-tex,19448,19153,0.0011
CC-MAIN-2013-20,application/x-troff-man,9391,9303,0.0005
CC-MAIN-2013-20,application/x-zip-compressed,17909,16290,0.0010
CC-MAIN-2013-20,application/xhtml+xml,1694954,1572684,0.0944
CC-MAIN-2013-20,application/xml,1592456,1552675,0.0887
CC-MAIN-2013-20,application/zip,97191,95726,0.0054
CC-MAIN-2013-20,audio/mp3,5165,4919,0.0003
CC-MAIN-2013-20,audio/mpeg,107302,102608,0.0060
CC-MAIN-2013-20,audio/x-mpegurl,47189,26404,0.0026
CC-MAIN-2013-20,audio/x-pn-realaudio,11905,11672,0.0007
CC-MAIN-2013-20,audio/x-scpls,43973,43384,0.0024
CC-MAIN-2013-20,audio/x-wav,169835,168936,0.0095
CC-MAIN-2013-20,binary/octet-stream,23197,23005,0.0013
CC-MAIN-2013-20,image/gif,654415,646598,0.0364
CC-MAIN-2013-20,image/jp2,11736,11662,0.0007
CC-MAIN-2013-20,image/jpeg,8489582,8391675,0.4727
CC-MAIN-2013-20,image/jpg,114719,114042,0.0064
CC-MAIN-2013-20,image/pjpeg,51600,49635,0.0029
CC-MAIN-2013-20,image/png,732441,722926,0.0408
CC-MAIN-2013-20,image/svg+xml,1776,1759,0.0001
CC-MAIN-2013-20,image/tiff,14754,14583,0.0008
CC-MAIN-2013-20,image/vnd.djvu,7093,7042,0.0004
CC-MAIN-2013-20,image/webp,37,36,0.0000
CC-MAIN-2013-20,message/rfc822,22397,21990,0.0012
CC-MAIN-2013-20,text/calendar,993011,958607,0.0553
CC-MAIN-2013-20,text/css,492,475,0.0000
CC-MAIN-2013-20,text/csv,67459,65697,0.0038
CC-MAIN-2013-20,text/directory,19966,19411,0.0011
CC-MAIN-2013-20,text/enriched,14138,13854,0.0008
CC-MAIN-2013-20,text/html,1754393474,1626550439,97.6780
CC-MAIN-2013-20,text/javascript,12490,11944,0.0007
CC-MAIN-2013-20,text/pdf,288,288,0.0000
CC-MAIN-2013-20,text/plain,3479510,3300101,0.1937
CC-MAIN-2013-20,text/prs.lines.tag,655,652,0.0000
CC-MAIN-2013-20,text/tab-separated-values,48268,46769,0.0027
