crawl,charset,pages,urls,%pages/crawl
CC-MAIN-2018-47,TIS-620,494862,493188,0.0187
CC-MAIN-2018-47,US-ASCII,976406,972169,0.0369
CC-MAIN-2018-47,UTF-16,101666,101006,0.0038
CC-MAIN-2018-47,UTF-16BE,3016,2998,0.0001
CC-MAIN-2018-47,UTF-16LE,124453,123860,0.0047
CC-MAIN-2018-47,UTF-32,1659,1655,0.0001
CC-MAIN-2018-47,UTF-8,2254096587,2223908358,85.1705
CC-MAIN-2018-47,windows-1250,4792766,4762591,0.1811
CC-MAIN-2018-47,windows-1251,56380684,56131078,2.1303
CC-MAIN-2018-47,windows-1252,30279903,30038880,1.1441
CC-MAIN-2018-47,windows-1253,185084,184226,0.0070
CC-MAIN-2018-47,windows-1254,1054047,1044938,0.0398
CC-MAIN-2018-47,windows-1255,548488,545486,0.0207
CC-MAIN-2018-47,windows-1256,4592998,4579351,0.1735
CC-MAIN-2018-47,windows-1257,306603,305627,0.0116
CC-MAIN-2018-47,windows-1258,3247,3225,0.0001
CC-MAIN-2018-47,windows-31j,40270,39887,0.0015
CC-MAIN-2018-47,x-IBM949,209,204,0.0000
CC-MAIN-2018-47,x-MacCyrillic,155965,155501,0.0059
CC-MAIN-2018-47,x-iso-8859-11,1046,1042,0.0000
CC-MAIN-2018-47,x-windows-874,474844,472732,0.0179
CC-MAIN-2018-47,x-windows-949,1207,1204,0.0000
CC-MAIN-2018-47,x-windows-950,180,179,0.0000
CC-MAIN-2018-51,<other>,2838,2759,0.0001
CC-MAIN-2018-51,<unknown>,67918443,67918443,2.1464
CC-MAIN-2018-51,Big5,3198731,3192058,0.1011
CC-MAIN-2018-51,Big5-HKSCS,7420,7413,0.0002
CC-MAIN-2018-51,EUC-JP,11510303,11444574,0.3638
CC-MAIN-2018-51,EUC-KR,5156694,5145873,0.1630
CC-MAIN-2018-51,GB18030,2108204,2100620,0.0666
CC-MAIN-2018-51,GB2312,34060489,33961559,1.0764
CC-MAIN-2018-51,GBK,14267277,14133734,0.4509
CC-MAIN-2018-51,IBM855,8790,8749,0.0003
CC-MAIN-2018-51,IBM866,21650,21558,0.0007
CC-MAIN-2018-51,ISO-2022-JP,54514,54198,0.0017
