crawl,primary_language,pages,urls,%pages/crawl
CC-MAIN-2018-34,nno,330421,327453,0.0123
CC-MAIN-2018-34,nor,7832173,7742445,0.2916
CC-MAIN-2018-34,nso,1773,1756,0.0001
CC-MAIN-2018-34,nya,12319,12231,0.0005
CC-MAIN-2018-34,oci,65026,64723,0.0024
CC-MAIN-2018-34,ori,45911,45820,0.0017
CC-MAIN-2018-34,orm,8171,8078,0.0003
CC-MAIN-2018-34,pan,78659,78380,0.0029
CC-MAIN-2018-34,pol,44687229,44215001,1.6635
CC-MAIN-2018-34,por,53220076,52581446,1.9811
CC-MAIN-2018-34,pus,58627,58489,0.0022
CC-MAIN-2018-34,que,8365,8226,0.0003
CC-MAIN-2018-34,roh,33940,33733,0.0013
CC-MAIN-2018-34,ron,13747709,13617648,0.5118
CC-MAIN-2018-34,run,3306,3266,0.0001
CC-MAIN-2018-34,rus,240333312,238711598,8.9466
CC-MAIN-2018-34,sag,942,937,0.0000
CC-MAIN-2018-34,san,44718,44187,0.0017
CC-MAIN-2018-34,sco,20593,20284,0.0008
CC-MAIN-2018-34,sin,142130,141543,0.0053
CC-MAIN-2018-34,slk,6087516,6007171,0.2266
CC-MAIN-2018-34,slv,2575104,2537138,0.0959
CC-MAIN-2018-34,smo,7501,7437,0.0003
CC-MAIN-2018-34,sna,8638,8544,0.0003
CC-MAIN-2018-34,snd,12222,12194,0.0005
CC-MAIN-2018-34,som,113834,113229,0.0042
CC-MAIN-2018-34,sot,6194,6089,0.0002
CC-MAIN-2018-34,spa,109410457,107990412,4.0729
CC-MAIN-2018-34,sqi,760210,756686,0.0283
CC-MAIN-2018-34,srp,3909562,3881981,0.1455
CC-MAIN-2018-34,ssw,1289,1191,0.0000
CC-MAIN-2018-34,sun,13950,13856,0.0005
CC-MAIN-2018-34,sux,69,69,0.0000
CC-MAIN-2018-34,swa,168171,166712,0.0063
CC-MAIN-2018-34,swe,19418339,19204473,0.7229
CC-MAIN-2018-34,syr,8729,8694,0.0003
CC-MAIN-2018-34,tam,802423,797970,0.0299
CC-MAIN-2018-34,tat,129074,128570,0.0048
CC-MAIN-2018-34,tel,221312,220453,0.0082
CC-MAIN-2018-34,tgk,62896,62629,0.0023
CC-MAIN-2018-34,tgl,209645,209005,0.0078
CC-MAIN-2018-34,tha,8536698,8473274,0.3178
CC-MAIN-2018-34,tir,16925,16899,0.0006
CC-MAIN-2018-34,ton,2350,2318,0.0001
CC-MAIN-2018-34,tsn,3082,3015,0.0001
CC-MAIN-2018-34,tso,1755,1705,0.0001
CC-MAIN-2018-34,tuk,22202,22056,0.0008
CC-MAIN-2018-34,tur,23422436,23182246,0.8719
CC-MAIN-2018-34,uig,22912,22866,0.0009
CC-MAIN-2018-34,ukr,9779432,9720315,0.3640
CC-MAIN-2018-34,urd,532730,530336,0.0198
CC-MAIN-2018-34,uzb,249163,248049,0.0093
CC-MAIN-2018-34,ven,657,638,0.0000
CC-MAIN-2018-34,vie,20055433,19903903,0.7466
CC-MAIN-2018-34,vol,14232,14073,0.0005
CC-MAIN-2018-34,war,54391,54016,0.0020
CC-MAIN-2018-34,wol,3034,2973,0.0001
CC-MAIN-2018-34,xho,8948,8569,0.0003
CC-MAIN-2018-34,yid,33273,33192,0.0012
CC-MAIN-2018-34,yor,8676,8637,0.0003
CC-MAIN-2018-34,zha,1255,1215,0.0000
CC-MAIN-2018-34,zho,113531714,113023462,4.2263
CC-MAIN-2018-34,zul,11065,10976,0.0004
CC-MAIN-2018-39,<unknown>,58844901,58844901,2.0711
CC-MAIN-2018-39,aar,5473,5384,0.0002
CC-MAIN-2018-39,abk,5305,5295,0.0002
CC-MAIN-2018-39,afr,261174,259528,0.0092
CC-MAIN-2018-39,aka,1047,1017,0.0000
CC-MAIN-2018-39,amh,66663,66160,0.0023
CC-MAIN-2018-39,ara,23546366,23291771,0.8287
CC-MAIN-2018-39,asm,14134,14097,0.0005
CC-MAIN-2018-39,aym,2325,2274,0.0001
CC-MAIN-2018-39,aze,1123380,1119529,0.0395
CC-MAIN-2018-39,bak,28165,28142,0.0010
CC-MAIN-2018-39,bel,410998,408044,0.0145
CC-MAIN-2018-39,ben,2316537,2243702,0.0815
CC-MAIN-2018-39,bih,16527,16347,0.0006
CC-MAIN-2018-39,bis,2782,2712,0.0001
CC-MAIN-2018-39,blu,18145,17961,0.0006
CC-MAIN-2018-39,bod,28726,28655,0.0010
CC-MAIN-2018-39,bos,929888,923498,0.0327
CC-MAIN-2018-39,bre,38067,37867,0.0013
CC-MAIN-2018-39,bul,8396141,8338873,0.2955
CC-MAIN-2018-39,cat,5063726,5012326,0.1782
CC-MAIN-2018-39,ceb,37808,37733,0.0013
CC-MAIN-2018-39,ces,29773412,29431604,1.0479
CC-MAIN-2018-39,chr,1397,1396,0.0000
CC-MAIN-2018-39,cos,38972,38397,0.0014
CC-MAIN-2018-39,crs,3112,3058,0.0001
CC-MAIN-2018-39,cym,175388,174068,0.0062
CC-MAIN-2018-39,dan,10943101,10803399,0.3852
CC-MAIN-2018-39,deu,146175979,144276394,5.1449
CC-MAIN-2018-39,div,29884,29223,0.0011
CC-MAIN-2018-39,dzo,1237,1233,0.0000
CC-MAIN-2018-39,ell,14243392,14119800,0.5013
CC-MAIN-2018-39,eng,1280182051,1262729057,45.0579
CC-MAIN-2018-39,epo,129726,129235,0.0046
CC-MAIN-2018-39,est,3145632,3078262,0.1107
CC-MAIN-2018-39,eus,551653,547068,0.0194
CC-MAIN-2018-39,fao,70858,69338,0.0025
CC-MAIN-2018-39,fas,18484101,18361761,0.6506
CC-MAIN-2018-39,fij,2293,2233,0.0001
CC-MAIN-2018-39,fin,10652974,10512276,0.3749
CC-MAIN-2018-39,fra,130936850,129466954,4.6085
CC-MAIN-2018-39,fry,42206,41970,0.0015
CC-MAIN-2018-39,gla,33590,32944,0.0012
CC-MAIN-2018-39,gle,104784,104279,0.0037
CC-MAIN-2018-39,glg,652585,647610,0.0230
CC-MAIN-2018-39,glv,7925,7704,0.0003
CC-MAIN-2018-39,got,755,753,0.0000
CC-MAIN-2018-39,grn,26098,25850,0.0009
CC-MAIN-2018-39,guj,268034,259259,0.0094
CC-MAIN-2018-39,hat,38571,38478,0.0014
CC-MAIN-2018-39,hau,45679,44657,0.0016
CC-MAIN-2018-39,haw,6214,6115,0.0002
CC-MAIN-2018-39,heb,4775015,4706645,0.1681
CC-MAIN-2018-39,hin,3014813,2954232,0.1061
CC-MAIN-2018-39,hrv,4089187,4060382,0.1439
CC-MAIN-2018-39,hun,14482004,14362487,0.5097
CC-MAIN-2018-39,hye,817747,806877,0.0288
CC-MAIN-2018-39,ibo,4646,4628,0.0002
CC-MAIN-2018-39,iku,4290,4270,0.0002
CC-MAIN-2018-39,ile,9210,9102,0.0003
CC-MAIN-2018-39,ina,21030,20850,0.0007
CC-MAIN-2018-39,ind,21105983,20905174,0.7429
CC-MAIN-2018-39,ipk,2642,2632,0.0001
CC-MAIN-2018-39,isl,872738,861426,0.0307
CC-MAIN-2018-39,ita,58924031,58260997,2.0739
CC-MAIN-2018-39,jav,34621,34527,0.0012
CC-MAIN-2018-39,jpn,156919435,155729928,5.5230
CC-MAIN-2018-39,kal,16185,15890,0.0006
CC-MAIN-2018-39,kan,374252,362325,0.0132
CC-MAIN-2018-39,kas,74,72,0.0000
CC-MAIN-2018-39,kat,878521,874082,0.0309
CC-MAIN-2018-39,kaz,421258,414291,0.0148
CC-MAIN-2018-39,kha,6503,6411,0.0002
CC-MAIN-2018-39,khm,183198,176086,0.0064
CC-MAIN-2018-39,kin,55908,52696,0.0020
CC-MAIN-2018-39,kir,170206,169153,0.0060
CC-MAIN-2018-39,kor,16888642,16780060,0.5944
CC-MAIN-2018-39,kur,125804,125061,0.0044
CC-MAIN-2018-39,lao,104226,103445,0.0037
CC-MAIN-2018-39,lat,918789,911274,0.0323
CC-MAIN-2018-39,lav,2267255,2243863,0.0798
CC-MAIN-2018-39,lif,203,200,0.0000
CC-MAIN-2018-39,lin,4636,4566,0.0002
CC-MAIN-2018-39,lit,4050448,3995729,0.1426
CC-MAIN-2018-39,ltz,60446,59821,0.0021
CC-MAIN-2018-39,lug,6897,6845,0.0002
CC-MAIN-2018-39,mal,684358,663901,0.0241
CC-MAIN-2018-39,mar,364901,330580,0.0128
CC-MAIN-2018-39,mfe,2559,2511,0.0001
CC-MAIN-2018-39,mkd,576716,570376,0.0203
CC-MAIN-2018-39,mlg,69368,68497,0.0024
CC-MAIN-2018-39,mlt,65261,64433,0.0023
CC-MAIN-2018-39,mon,385985,383892,0.0136
CC-MAIN-2018-39,mri,15827,15651,0.0006
CC-MAIN-2018-39,msa,2829844,2817663,0.0996
CC-MAIN-2018-39,mya,357586,352523,0.0126
CC-MAIN-2018-39,nau,1052,1020,0.0000
CC-MAIN-2018-39,nep,366409,364210,0.0129
CC-MAIN-2018-39,nld,40992049,40468601,1.4428
CC-MAIN-2018-39,nno,387215,383098,0.0136
CC-MAIN-2018-39,nor,8572354,8458655,0.3017
CC-MAIN-2018-39,nso,12504,12491,0.0004
CC-MAIN-2018-39,nya,11564,11478,0.0004
CC-MAIN-2018-39,oci,62217,61941,0.0022
CC-MAIN-2018-39,ori,74475,72827,0.0026
CC-MAIN-2018-39,orm,7540,7444,0.0003
CC-MAIN-2018-39,pan,125438,114586,0.0044
