domain,pages,urls,hosts,%pages,%urls
ucoz.ru,187746,186299,1363,0.006928,0.006918
ny.gov,186926,186229,341,0.006898,0.006915
ilsole24ore.com,186111,185292,182,0.006868,0.006881
fedoraproject.org,185721,185575,74,0.006853,0.006891
shein.com,184561,184471,34,0.006811,0.006850
com.de,184322,183195,483,0.006802,0.006803
kcl.ac.uk,183849,182838,89,0.006784,0.006790
walla.co.il,183248,183026,351,0.006762,0.006797
scribd.com,182674,182438,13,0.006741,0.006775
bme.hu,182113,181877,429,0.006720,0.006754
gnu.org,181534,181098,30,0.006699,0.006725
jd.com,181493,180841,1872,0.006697,0.006715
ifixit.com,179131,177612,21,0.006610,0.006595
chinaz.com,179129,175963,61,0.006610,0.006534
jooble.org,178199,178137,71,0.006576,0.006615
iu.edu,177638,176166,539,0.006555,0.006542
uni-hamburg.de,177312,174739,373,0.006543,0.006489
csic.es,177197,174832,492,0.006539,0.006492
inaturalist.org,177107,176493,14,0.006536,0.006554
nfl.com,176881,173331,26,0.006527,0.006436
statcounter.com,176814,163179,52,0.006525,0.006060
texas.gov,173654,172729,284,0.006408,0.006414
xrea.com,173339,173316,1202,0.006397,0.006436
tamu.edu,172507,172075,1066,0.006366,0.006390
ohio-state.edu,170513,170475,89,0.006292,0.006330
wn.com,170164,168498,64,0.006279,0.006257
pixels.com,170011,169749,1835,0.006274,0.006303
iastate.edu,168456,167105,604,0.006216,0.006205
wikileaks.org,167586,167452,16,0.006184,0.006218
tum.de,166813,162831,444,0.006156,0.006047
dict.cc,166726,165984,193,0.006153,0.006164
lublin.pl,166648,166436,715,0.006150,0.006180
hu-berlin.de,166630,165758,258,0.006149,0.006155
colorado.edu,166241,165824,164,0.006135,0.006158
usu.edu,165729,165406,103,0.006116,0.006142
odoo.com,165368,164285,1732,0.006102,0.006101
cafe24.com,165302,165003,1546,0.006100,0.006127
tufts.edu,165161,164894,195,0.006095,0.006123
hateblo.jp,164974,164948,1255,0.006088,0.006125
gentoo.org,164970,164880,360,0.006088,0.006123
hatena.ne.jp,164264,159776,31,0.006062,0.005933
chinadaily.com.cn,163919,163669,116,0.006049,0.006078
semrush.com,163460,163259,23,0.006032,0.006062
sfu.ca,161917,161344,118,0.005975,0.005991
intel.com,161811,153433,58,0.005971,0.005698
xsrv.jp,161348,161011,948,0.005954,0.005979
fau.de,160583,158826,648,0.005926,0.005898
rt.com,160449,159665,38,0.005921,0.005929
cnet.com,160120,156147,7,0.005909,0.005798
wroc.pl,159767,159498,685,0.005896,0.005923
uefa.com,159616,157345,34,0.005890,0.005843
cern.ch,159388,155969,477,0.005882,0.005792
sap.com,158906,158291,51,0.005864,0.005878
vecteezy.com,158818,158422,10,0.005861,0.005883
yimg.jp,158670,158668,102,0.005855,0.005892
wa.gov,158180,155186,390,0.005837,0.005763
ddns.net,157833,157702,851,0.005824,0.005856
parliament.uk,157747,156797,42,0.005821,0.005823
xdomain.jp,157605,157600,622,0.005816,0.005852
fu-berlin.de,157592,157267,158,0.005815,0.005840
dhgate.com,157277,157134,27,0.005804,0.005835
jhu.edu,156864,155769,438,0.005789,0.005784
cnr.it,156334,156121,546,0.005769,0.005797
elsevierpure.com,155586,152931,48,0.005741,0.005679
aktuality.sk,154712,153581,20,0.005709,0.005703
univie.ac.at,154658,154256,1180,0.005707,0.005728
google.cn,154263,145692,24,0.005693,0.005410
universiteitleiden.nl,153653,149651,44,0.005670,0.005557
quangtri.gov.vn,153142,96668,196,0.005651,0.003590
hochiminhcity.gov.vn,152821,152812,133,0.005639,0.005675
goo.ne.jp,152769,152409,36,0.005637,0.005660
weblio.jp,151439,151397,23,0.005588,0.005622
ufl.edu,151330,146502,1163,0.005584,0.005440
at.ua,151166,146443,1353,0.005578,0.005438
pages.dev,151013,150835,1770,0.005573,0.005601
statista.com,150886,150404,10,0.005568,0.005585
uvic.ca,150596,150370,135,0.005557,0.005584
buzzsprout.com,150445,150184,8971,0.005552,0.005577
af.mil,150049,149898,338,0.005537,0.005566
usal.es,149400,146822,257,0.005513,0.005452
ub.edu,148985,147920,127,0.005498,0.005493
poznan.pl,148631,147758,679,0.005485,0.005487
honda.com,148606,148565,135,0.005484,0.005517
bg.ac.rs,148441,148010,480,0.005478,0.005496
indiana.edu,147654,147488,568,0.005449,0.005477
bnf.fr,147628,147229,62,0.005448,0.005467
hse.ru,147550,146994,465,0.005445,0.005458
unc.edu,147472,146947,1189,0.005442,0.005457
cas.cz,146893,146395,371,0.005421,0.005436
syr.edu,145363,138913,328,0.005364,0.005158
bfm.ru,145359,145319,17,0.005364,0.005396
ulaval.ca,144832,144425,444,0.005345,0.005363
upc.edu,144782,143844,555,0.005343,0.005342
naszemiasto.pl,144532,142247,445,0.005334,0.005282
uchile.cl,144490,143485,450,0.005332,0.005328
snu.ac.kr,144268,144183,318,0.005324,0.005354
tripadvisor.com,144014,143221,9,0.005314,0.005318
utk.edu,143913,143719,453,0.005311,0.005337
livejournal.com,143513,143485,3197,0.005296,0.005328
kayak.com,143263,143191,19,0.005287,0.005317
gatech.edu,143220,142509,1231,0.005285,0.005292
donga.com,142750,136926,40,0.005268,0.005085
kyoto-u.ac.jp,142690,141479,714,0.005266,0.005254
podbean.com,142460,142010,17112,0.005257,0.005273
umontreal.ca,142449,141892,351,0.005257,0.005269
gva.es,142434,140004,265,0.005256,0.005199
ign.com,142216,139472,34,0.005248,0.005179
freebsd.org,141763,141616,74,0.005231,0.005259
linternaute.com,141495,140856,22,0.005221,0.005231
aliyun.com,141108,133338,125,0.005207,0.004951
nyc.gov,140872,140604,113,0.005198,0.005221
tau.ac.il,140418,140319,412,0.005182,0.005211
cuny.edu,140365,139751,1334,0.005180,0.005190
dothome.co.kr,140328,140123,530,0.005178,0.005203
uc.pt,139952,139282,220,0.005165,0.005172
gov.bc.ca,139702,139610,133,0.005155,0.005184
pitt.edu,139187,138917,1112,0.005136,0.005159
inria.fr,139009,137844,387,0.005130,0.005119
up.pt,138730,138046,336,0.005119,0.005126
ucf.edu,137776,137143,314,0.005084,0.005093
ru.com,137570,135832,423,0.005077,0.005044
eu.com,137567,134903,554,0.005077,0.005010
freehostia.com,136056,130668,449,0.005021,0.004852
ucoz.com,135705,133023,1267,0.005008,0.004940
jpn.org,135460,134967,941,0.004999,0.005012
gencat.cat,135298,121634,137,0.004993,0.004517
kemdikbud.go.id,134749,134070,401,0.004973,0.004979
readthedocs.io,133502,133068,8124,0.004926,0.004941
obozrevatel.com,132910,132527,26,0.004905,0.004921
overdrive.com,132700,131876,1109,0.004897,0.004897
mcgill.ca,132562,131871,268,0.004892,0.004897
everand.com,132063,131315,9,0.004873,0.004876
i.ua,131575,130823,41,0.004855,0.004858
ouest-france.fr,131338,127181,51,0.004847,0.004723
gamer.com.tw,131271,128369,20,0.004844,0.004767
trip.com,131229,131198,31,0.004843,0.004872
anu.edu.au,130683,130371,242,0.004822,0.004841
us.es,130403,129778,174,0.004812,0.004819
cnn.com,130070,129311,26,0.004800,0.004802
uservoice.com,130035,129874,618,0.004799,0.004823
hindustantimes.com,129655,129411,22,0.004785,0.004806
oclc.org,129463,128661,430,0.004777,0.004778
blogs.com,129314,129112,1278,0.004772,0.004794
bookmate.com,127967,127959,21,0.004722,0.004752
unibo.it,127750,127064,318,0.004714,0.004718
lenovo.com,127540,123160,66,0.004706,0.004573
onet.pl,127333,126562,54,0.004699,0.004700
upm.es,127299,127179,307,0.004698,0.004723
arcgis.com,127271,125256,6174,0.004697,0.004651
sch.gr,127240,127045,1037,0.004695,0.004718
zcu.cz,127153,127017,221,0.004692,0.004717
republika.co.id,127018,126523,88,0.004687,0.004698
banggood.com,126675,125883,48,0.004675,0.004675
redhat.com,126437,125308,47,0.004666,0.004653
ugent.be,126433,126022,480,0.004666,0.004680
gutenberg.org,126427,125701,5,0.004665,0.004668
dyndns.org,126265,125218,410,0.004659,0.004650
