crawl,mimetype_detected,pages,urls,%pages/crawl
CC-MAIN-2017-30,application/x-stata-do,4041,4036,0.0001
CC-MAIN-2017-30,application/x-tex,19931,19927,0.0007
CC-MAIN-2017-30,application/x-tex-tfm,2551,2551,0.0001
CC-MAIN-2017-30,application/x-tika-msoffice,48942,48902,0.0017
CC-MAIN-2017-30,application/x-tika-ooxml,31910,30983,0.0011
CC-MAIN-2017-30,application/x-wais-source,605,605,0.0000
CC-MAIN-2017-30,application/x-xz,46176,46151,0.0016
CC-MAIN-2017-30,application/xhtml+xml,846401467,837380297,29.2648
CC-MAIN-2017-30,application/xml,1524317,1516867,0.0527
CC-MAIN-2017-30,application/zip,230884,230477,0.0080
CC-MAIN-2017-30,application/zlib,1992,1979,0.0001
CC-MAIN-2017-30,audio/mp4,21740,21695,0.0008
CC-MAIN-2017-30,audio/mpeg,152037,151698,0.0053
CC-MAIN-2017-30,audio/vnd.wave,54150,54150,0.0019
CC-MAIN-2017-30,audio/x-mpegurl,51423,51407,0.0018
CC-MAIN-2017-30,image/gif,1072559,1070055,0.0371
CC-MAIN-2017-30,image/jpeg,13479565,13465889,0.4661
CC-MAIN-2017-30,image/png,3129597,3128262,0.1082
CC-MAIN-2017-30,image/svg+xml,15209,15205,0.0005
CC-MAIN-2017-30,image/tiff,24813,24770,0.0009
CC-MAIN-2017-30,image/vnd.djvu,36744,36701,0.0013
CC-MAIN-2017-30,image/vnd.dxf; format=ascii,6636,6376,0.0002
CC-MAIN-2017-30,image/webp,34088,34079,0.0012
CC-MAIN-2017-30,message/rfc822,199939,199907,0.0069
CC-MAIN-2017-30,text/asp,972082,968466,0.0336
CC-MAIN-2017-30,text/aspdotnet,799061,797331,0.0276
CC-MAIN-2017-30,text/calendar,502013,500369,0.0174
CC-MAIN-2017-30,text/css,31645,31604,0.0011
CC-MAIN-2017-30,text/csv,62428,62110,0.0022
CC-MAIN-2017-30,text/html,1971077660,1933434877,68.1512
CC-MAIN-2017-30,text/plain,2598214,2594438,0.0898
CC-MAIN-2017-30,text/prs.lines.tag,10307,10307,0.0004
CC-MAIN-2017-30,text/tab-separated-values,51355,51351,0.0018
CC-MAIN-2017-30,text/troff,94971,94931,0.0033
CC-MAIN-2017-30,text/turtle,14959,14959,0.0005
CC-MAIN-2017-30,text/vtt,442,442,0.0000
CC-MAIN-2017-30,text/x-c++src,37725,37626,0.0013
CC-MAIN-2017-30,text/x-cgi,90082,89213,0.0031
CC-MAIN-2017-30,text/x-chdr,91818,91608,0.0032
CC-MAIN-2017-30,text/x-coldfusion,863180,862306,0.0298
CC-MAIN-2017-30,text/x-csrc,117869,117687,0.0041
CC-MAIN-2017-30,text/x-diff,72960,72928,0.0025
CC-MAIN-2017-30,text/x-jsp,339800,336922,0.0117
CC-MAIN-2017-30,text/x-log,26195,26193,0.0009
CC-MAIN-2017-30,text/x-matlab,56634,56627,0.0020
CC-MAIN-2017-30,text/x-perl,186689,186598,0.0065
CC-MAIN-2017-30,text/x-php,5059338,5049256,0.1749
CC-MAIN-2017-30,text/x-python,13057,13051,0.0005
CC-MAIN-2017-30,text/x-vcalendar,21047,20882,0.0007
CC-MAIN-2017-30,text/x-vcard,45550,45472,0.0016
CC-MAIN-2017-30,text/x-web-markdown,3923,3923,0.0001
CC-MAIN-2017-30,text/x-yaml,522,522,0.0000
CC-MAIN-2017-30,video/mp4,31278,31243,0.0011
CC-MAIN-2017-30,video/quicktime,7103,7099,0.0002
CC-MAIN-2017-30,video/webm,8490,8472,0.0003
CC-MAIN-2017-30,video/x-m4v,9922,9919,0.0003
CC-MAIN-2017-34,<other>,297271,296790,0.0091
CC-MAIN-2017-34,application/atom+xml,12389543,12380604,0.3777
CC-MAIN-2017-34,application/epub+zip,38434,38197,0.0012
CC-MAIN-2017-34,application/gpx+xml,1776,1776,0.0001
CC-MAIN-2017-34,application/gzip,115728,113785,0.0035
CC-MAIN-2017-34,application/javascript,32295,32277,0.0010
CC-MAIN-2017-34,application/json,143790,143718,0.0044
CC-MAIN-2017-34,application/marc,16208,16208,0.0005
CC-MAIN-2017-34,application/mbox,53497,53495,0.0016
CC-MAIN-2017-34,application/msword,81395,81166,0.0025
CC-MAIN-2017-34,application/octet-stream,184569,183762,0.0056
CC-MAIN-2017-34,application/pdf,19114561,19091586,0.5827
CC-MAIN-2017-34,application/pgp-signature,6988,6746,0.0002
CC-MAIN-2017-34,application/pkcs7-signature,1213,1213,0.0000
CC-MAIN-2017-34,application/postscript,10968,10963,0.0003
CC-MAIN-2017-34,application/rdf+xml,425455,425245,0.0130
CC-MAIN-2017-34,application/rss+xml,6633147,6621743,0.2022
CC-MAIN-2017-34,application/rtf,12054,12046,0.0004
CC-MAIN-2017-34,application/text,2559,2559,0.0001
CC-MAIN-2017-34,application/vnd.android.package-archive,66301,66191,0.0020
CC-MAIN-2017-34,application/vnd.google-earth.kml+xml,77899,77894,0.0024
CC-MAIN-2017-34,application/vnd.google-earth.kmz,11089,11086,0.0003
CC-MAIN-2017-34,application/vnd.ms-excel,24725,23804,0.0008
CC-MAIN-2017-34,application/vnd.ms-powerpoint,19226,19219,0.0006
CC-MAIN-2017-34,application/vnd.oasis.opendocument.spreadsheet,1550,1549,0.0000
CC-MAIN-2017-34,application/vnd.oasis.opendocument.text,7311,7310,0.0002
CC-MAIN-2017-34,application/vnd.openxmlformats-officedocument.presentationml.presentation,5291,5279,0.0002
CC-MAIN-2017-34,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,10374,10346,0.0003
CC-MAIN-2017-34,application/vnd.openxmlformats-officedocument.wordprocessingml.document,25057,24848,0.0008
CC-MAIN-2017-34,application/x-bibtex-text-file,14495,14487,0.0004
CC-MAIN-2017-34,application/x-bittorrent,6114,5965,0.0002
CC-MAIN-2017-34,application/x-bzip2,8678,8666,0.0003
CC-MAIN-2017-34,application/x-debian-package,7775,7754,0.0002
CC-MAIN-2017-34,application/x-dosexec,13063,12965,0.0004
CC-MAIN-2017-34,application/x-endnote-refer,2660,2647,0.0001
CC-MAIN-2017-34,application/x-hdf,147,147,0.0000
CC-MAIN-2017-34,application/x-mobipocket-ebook,7960,7944,0.0002
CC-MAIN-2017-34,application/x-ms-asx,12434,12358,0.0004
CC-MAIN-2017-34,application/x-msdownload,4403,4378,0.0001
CC-MAIN-2017-34,application/x-rar-compressed,14504,14492,0.0004
CC-MAIN-2017-34,application/x-research-info-systems,25532,25512,0.0008
CC-MAIN-2017-34,application/x-sh,8419,8412,0.0003
CC-MAIN-2017-34,application/x-shockwave-flash,16117,16019,0.0005
CC-MAIN-2017-34,application/x-stata-do,933,930,0.0000
CC-MAIN-2017-34,application/x-tex,1851,1850,0.0001
CC-MAIN-2017-34,application/x-tex-tfm,53,53,0.0000
CC-MAIN-2017-34,application/x-tika-msoffice,24418,24407,0.0007
CC-MAIN-2017-34,application/x-tika-ooxml,15259,15254,0.0005
CC-MAIN-2017-34,application/x-wais-source,1291,1291,0.0000
CC-MAIN-2017-34,application/x-xz,23698,23615,0.0007
CC-MAIN-2017-34,application/xhtml+xml,1008007589,1003429974,30.7312
CC-MAIN-2017-34,application/xml,801405,797268,0.0244
CC-MAIN-2017-34,application/zip,181905,181196,0.0055
CC-MAIN-2017-34,application/zlib,1505,1492,0.0000
CC-MAIN-2017-34,audio/mp4,30129,30079,0.0009
CC-MAIN-2017-34,audio/mpeg,151042,150740,0.0046
CC-MAIN-2017-34,audio/vnd.wave,61371,61370,0.0019
CC-MAIN-2017-34,audio/x-mpegurl,31421,31408,0.0010
CC-MAIN-2017-34,image/gif,154267,154040,0.0047
CC-MAIN-2017-34,image/jpeg,5133300,5130183,0.1565
CC-MAIN-2017-34,image/png,1041698,1040882,0.0318
CC-MAIN-2017-34,image/svg+xml,3528,3511,0.0001
CC-MAIN-2017-34,image/tiff,17619,17607,0.0005
CC-MAIN-2017-34,image/vnd.djvu,23915,23879,0.0007
CC-MAIN-2017-34,image/vnd.dxf; format=ascii,4084,4084,0.0001
CC-MAIN-2017-34,image/webp,3618,3142,0.0001
CC-MAIN-2017-34,message/rfc822,13318,13305,0.0004
CC-MAIN-2017-34,text/asp,376350,375486,0.0115
CC-MAIN-2017-34,text/aspdotnet,101620,101458,0.0031
CC-MAIN-2017-34,text/calendar,350054,349908,0.0107
CC-MAIN-2017-34,text/css,10199,10166,0.0003
CC-MAIN-2017-34,text/csv,7522,7457,0.0002
CC-MAIN-2017-34,text/html,2220985592,2202369448,67.7113
CC-MAIN-2017-34,text/plain,526723,526032,0.0161
CC-MAIN-2017-34,text/prs.lines.tag,1172,1172,0.0000
CC-MAIN-2017-34,text/tab-separated-values,2591,2591,0.0001
CC-MAIN-2017-34,text/troff,7084,7084,0.0002
CC-MAIN-2017-34,text/turtle,10323,10323,0.0003
CC-MAIN-2017-34,text/vtt,170,170,0.0000
CC-MAIN-2017-34,text/x-c++src,2015,2012,0.0001
CC-MAIN-2017-34,text/x-cgi,24797,24278,0.0008
CC-MAIN-2017-34,text/x-chdr,6396,6393,0.0002
CC-MAIN-2017-34,text/x-coldfusion,111497,111215,0.0034
CC-MAIN-2017-34,text/x-csrc,11591,11591,0.0004
CC-MAIN-2017-34,text/x-diff,6221,6214,0.0002
CC-MAIN-2017-34,text/x-jsp,41096,40940,0.0013
CC-MAIN-2017-34,text/x-log,11735,11734,0.0004
