crawl,fetch denied,fetch failed,fetch list,fetch notmodified,fetch redirect,fetch skipped,fetch success,fetch total,pages released
CC-MAIN-2017-47,94621993,380412550,4343750079,62082353,686084836,534111869,3252728548,5010042149,3204943573
CC-MAIN-2017-51,62236913,232678965,3809408512,79404292,371810357,478072526,2944314545,4168517598,2914004423
CC-MAIN-2018-05,112706070,441747825,4732788935,57260633,842022112,561975604,3539656618,5555368862,3464537205
CC-MAIN-2018-09,68342465,450570672,4629848076,81979040,437813280,473386910,3537023788,5049116155,3488463319
CC-MAIN-2018-13,66986277,374995914,4297718457,111508186,496906934,446976728,3285419961,4782794000,3232738018
CC-MAIN-2018-17,60259746,420996466,4173609779,100902383,382972702,438167472,3144252077,4547550846,3101353989
CC-MAIN-2018-22,70039800,470619009,3917155993,108799877,392630990,415769254,2840416631,4298275561,2788388007
CC-MAIN-2018-26,60098834,453481549,4008025120,103681263,417302854,265743849,3113935691,4414244040,3069414247
CC-MAIN-2018-30,68747924,526909659,4272792338,99627702,546641385,243954238,3318163845,4804044753,3263958200
CC-MAIN-2018-34,51306382,430736512,3530776601,100121564,437420532,201938605,2735259369,3956782964,2686323358
CC-MAIN-2018-39,53144101,491507003,3720881871,84584691,429090903,193672942,2884119432,4136119072,2841194829
CC-MAIN-2018-43,58591517,438435857,3813543568,27315531,419367941,184514711,3090406673,4218632230,3041784523
CC-MAIN-2018-47,63033752,292795729,3301990275,23960257,412947359,172500818,2691695481,3656933396,2646568544
CC-MAIN-2018-51,63860093,336602364,3851138781,32755355,405334070,178892966,3219306621,4236751469,3164247635
CC-MAIN-2019-04,78077218,346755275,3579014656,41894460,365410946,149914576,2941135435,3923187910,2889726642
CC-MAIN-2019-09,71720497,347563610,3512447577,42989143,387934575,66430446,2965203537,3881841808,2913733422
CC-MAIN-2019-13,64466351,309633058,3085950972,28321635,361246817,53612417,2614037004,3431317282,2569681845
CC-MAIN-2019-18,77951846,286427988,2993990226,30291091,351032580,43430656,2541879921,3331014082,2497818607
CC-MAIN-2019-22,105471841,302573998,3241321519,28583594,385343429,54870707,2729146942,3605990511,2679746250
CC-MAIN-2019-26,103907552,256657097,3091701437,20177097,304173431,61294871,2632942767,3379152815,2594261117
CC-MAIN-2019-30,107291579,272533844,3125680181,28082880,312689313,61264989,2633907026,3415769631,2594798375
CC-MAIN-2019-35,111806502,317267074,3554022988,21963694,338960200,78134546,2996282936,3864414952,2954836065
CC-MAIN-2019-39,116639474,299578409,3143929897,17663707,336325102,79907681,2599795453,3449909826,2561062912
CC-MAIN-2019-43,121870260,303888672,3706625099,24576481,340555074,150504450,3059287294,4000682231,3019036529
CC-MAIN-2019-47,104905957,296146524,3156069719,14500798,291338314,80722742,2628115182,3415729517,2590595173
CC-MAIN-2019-51,105217675,283626843,3024216942,16926316,280132141,81421262,2505464002,3272788239,2471904965
CC-MAIN-2020-05,102500036,283266112,3668585586,25246448,289421997,92469193,3143769355,3936673141,3101097173
CC-MAIN-2020-10,110083507,305360697,3330571565,20074055,350414742,159441274,2673682290,3619056565,2629963462
CC-MAIN-2020-16,96226896,221458420,3488201254,18674174,311225274,154393273,2896755264,3698733301,2886236237
CC-MAIN-2020-24,102936869,414463727,3637934268,22629264,430846074,214475742,2770235619,3955587295,2763206762
CC-MAIN-2020-29,97612832,357372437,4073198154,21484094,422243022,190168356,3079189122,4168069863,3144733420
CC-MAIN-2020-34,104232778,274970201,3108580994,17324426,388456190,143084271,2452118051,3380185917,2449834239
CC-MAIN-2020-40,109600157,344486835,4371144186,21422070,445984922,245041952,3479666684,4646202620,3473571206
CC-MAIN-2020-45,113177141,194385249,3253602367,11505024,373459777,112303458,2735297287,3540127936,2731063243
CC-MAIN-2020-50,110376991,207602914,3179455369,14561039,343286198,96822539,2642459905,3415109586,2642471501
CC-MAIN-2021-04,110730976,257887248,3980206624,23666907,394433417,108567959,3409444621,4304731128,3401286407
CC-MAIN-2021-10,100986517,181747724,3209033070,12320903,326310515,69242663,2734510630,3425118952,2736749883
CC-MAIN-2021-17,118353077,186097365,3709617713,14621976,328249320,146578815,3127001582,3920902135,3134424806
CC-MAIN-2021-21,114522728,289983197,3464062412,12291299,356336783,262843819,2631391117,3667368943,2632142465
CC-MAIN-2021-25,96776770,234856453,3080558881,11183164,299978448,187155145,2455171959,3285121939,2457631756
CC-MAIN-2021-31,97733492,253122744,3840646040,19975742,302675792,205378585,3163682448,4042568803,3165089855
CC-MAIN-2021-39,132630205,232438960,3590999547,16785975,378454582,157225310,2966078302,3883613334,2959903779
CC-MAIN-2021-43,131650568,203497203,3937733264,14630482,367739305,144485883,3324131032,4186134473,3349178015
CC-MAIN-2021-49,139919756,228590793,3148703091,9243543,401090769,143876930,2531182805,3453904596,2527075799
CC-MAIN-2022-05,135905269,161665811,3546030954,13244379,328785673,128378559,2974668205,3742707359,2986392030
CC-MAIN-2022-21,133311015,164845125,4077272510,14268392,412102378,202907136,3456340061,4383835156,3449824215
CC-MAIN-2022-27,124893389,134827300,3657633022,13339554,372155177,194214247,3117835780,3957265447,3109609672
CC-MAIN-2022-33,132323121,208435120,3319887725,14037766,457905521,278361197,2599832705,3690895430,2588690250
CC-MAIN-2022-40,116641634,153122530,3921032705,17270873,323479115,382106755,3185182948,4177803855,3176763048
CC-MAIN-2022-49,133107555,181958126,4255410360,20618364,359832033,447219683,3389743574,4532479335,3381612888
CC-MAIN-2023-06,95314964,139858672,3796595064,16239596,293563520,281920093,3192983431,4019880276,3189578207
CC-MAIN-2023-14,109948326,148111573,3788776021,15540229,305738613,329836296,3124887981,4034063018,3118633413
CC-MAIN-2023-23,109575127,178082478,3967407732,17515925,331873857,446384347,3147083566,4230515300,3140573968
CC-MAIN-2023-40,219872763,218722976,4260222260,20378958,402993441,278042879,3460550562,4600561579,3445015037
CC-MAIN-2023-50,198112719,232223886,4201814495,17677519,425031113,302006975,3370910459,4545962671,3354042124
CC-MAIN-2024-10,167583708,228764288,3984507663,16903617,410546388,374309712,3128032551,4326140264,3106525566
CC-MAIN-2024-18,152242605,195772403,3565682499,15520472,348811789,332753634,2803116264,3848217167,2786800057
CC-MAIN-2024-22,147058405,189463274,3468459881,17254235,332733623,335161124,2724733199,3746403860,2709877975
CC-MAIN-2024-26,160406720,224637679,3697574228,22419628,345658696,419642562,2813450427,3986216346,2798047026
CC-MAIN-2024-30,154336223,196223870,3353545118,18632553,299773740,349959383,2560559486,3579486425,2546630395
CC-MAIN-2024-33,148619592,168485639,3057831348,17106553,277751569,350092063,2328003168,3290059251,2315926416
CC-MAIN-2024-38,162400931,189896677,3670177067,22219235,282054671,435723448,2814337832,3906633226,2800893463
CC-MAIN-2024-42,158092155,176862092,3292436854,18756995,278992592,383174618,2507916084,3523794847,2495190754
CC-MAIN-2024-46,154142294,182201580,3512067777,20927775,273979362,404713091,2700111429,3738908543,2687811747
CC-MAIN-2024-51,173067151,189542601,3500310083,18846576,291228391,420411101,2647896043,3740993208,2635362356
CC-MAIN-2025-05,178815528,210707666,3969936359,21395704,311072566,459480946,3044851336,4226325712,3031278337
CC-MAIN-2025-08,188489944,208057465,3634095214,19791265,304339158,474430362,2692264061,3887374247,2679706056
CC-MAIN-2025-13,172546366,217050008,3762533233,21090585,311678219,544538258,2753538967,4020443907,2740844187
CC-MAIN-2025-18,186682938,218535311,3785072639,20491145,318149386,543701254,2760301059,4047863325,2747336110
CC-MAIN-2025-21,155043058,203302481,3443657988,19996738,277319809,531188472,2487165634,3674018218,2477165602
CC-MAIN-2025-26,161517487,201394203,3363003425,18578688,278165436,537302734,2395311332,3592271667,2385603949
CC-MAIN-2025-30,183386822,194968117,3394507444,17466320,272747272,518324690,2432783351,3619679510,2422580507
CC-MAIN-2025-33,177488432,189313752,3363397721,17327821,261197066,481469766,2452395752,3579195444,2442493478
CC-MAIN-2025-38,189346869,190995440,3268835843,15961233,271376139,418318256,2395594531,3481594608,2385964209
CC-MAIN-2025-43,193022209,191053976,3501327345,16646387,265851401,426904395,2627342431,3720822711,2616796857
CC-MAIN-2025-47,221720540,180476233,3376418359,16179210,251372166,611469639,2304233783,3585452894,2294472912
CC-MAIN-2025-51,197830543,173687969,3206111434,14592026,244372560,600231758,2178742256,3409457525,2169087279
CC-MAIN-2026-04,193977810,183965086,3410010503,16203549,248296219,634441386,2339673995,3616559010,2329630755
CC-MAIN-2026-08,199548117,181223015,3275516979,14669187,248469073,662422128,2176942448,3483275559,2166991722
CC-MAIN-2026-12,189800542,179837298,3086297054,14000166,235155913,679652812,1984198830,3282647598,1974845234
CC-MAIN-2026-17,218668661,191633952,3371549557,14985960,257419762,699921016,2202695211,3585327457,2191936300
CC-MAIN-2026-21,339422937,190848149,3350125900,14453238,255082143,587332287,2174965403,3562105566,2164140877
CC-MAIN-2026-25,203376178,182832933,3198153782,14775493,251344453,645396439,2108835821,3406561317,2098491742
CC-MAIN-2026-30,206503414,192382944,3235133984,15268067,263726282,616490221,2160388845,3454759774,2149001456
