,crawl,date,type,size
1086,CC-MAIN-2018-43,2018-10-22,redir_temp,163303086
1087,CC-MAIN-2018-43,2018-10-22,redir_perm,398840989
1088,CC-MAIN-2018-43,2018-10-22,notmodified,1197919494
1089,CC-MAIN-2018-43,2018-10-22,duplicate,524387947
1090,CC-MAIN-2018-43,2018-10-22,orphan,588763965
1122,CC-MAIN-2018-47,2018-11-19,unfetched,1184456635
1123,CC-MAIN-2018-47,2018-11-19,fetched,5461150713
1124,CC-MAIN-2018-47,2018-11-19,gone,602495879
1125,CC-MAIN-2018-47,2018-11-19,redir_temp,187593772
1126,CC-MAIN-2018-47,2018-11-19,redir_perm,475087379
1127,CC-MAIN-2018-47,2018-11-19,notmodified,1230242846
1128,CC-MAIN-2018-47,2018-11-19,duplicate,627432633
1129,CC-MAIN-2018-47,2018-11-19,orphan,603797601
1161,CC-MAIN-2018-51,2018-12-17,unfetched,1213509726
1162,CC-MAIN-2018-51,2018-12-17,fetched,5910211156
1163,CC-MAIN-2018-51,2018-12-17,gone,681845228
1164,CC-MAIN-2018-51,2018-12-17,redir_temp,192894989
1165,CC-MAIN-2018-51,2018-12-17,redir_perm,468061025
1166,CC-MAIN-2018-51,2018-12-17,notmodified,1240802263
1167,CC-MAIN-2018-51,2018-12-17,duplicate,706307667
1168,CC-MAIN-2018-51,2018-12-17,orphan,282624999
1200,CC-MAIN-2019-04,2019-01-21,unfetched,1304655900
1201,CC-MAIN-2019-04,2019-01-21,fetched,5989875297
1202,CC-MAIN-2019-04,2019-01-21,gone,649536320
1203,CC-MAIN-2019-04,2019-01-21,redir_temp,189263437
1204,CC-MAIN-2019-04,2019-01-21,redir_perm,422378341
1205,CC-MAIN-2019-04,2019-01-21,notmodified,1197987241
1206,CC-MAIN-2019-04,2019-01-21,duplicate,698289453
1207,CC-MAIN-2019-04,2019-01-21,orphan,973585660
1239,CC-MAIN-2019-09,2019-02-25,unfetched,1233189167
1240,CC-MAIN-2019-09,2019-02-25,fetched,6068548300
1241,CC-MAIN-2019-09,2019-02-25,gone,665868662
1242,CC-MAIN-2019-09,2019-02-25,redir_temp,195252295
