,crawl,size,percentage,type
1103,CC-MAIN-2018-47,2691695481,73.60526401558778,success
1104,CC-MAIN-2018-47,23960257,0.6552008036626544,notmodified
1106,CC-MAIN-2018-47,412947359,11.29217610174927,redirect
1109,CC-MAIN-2018-47,292795729,8.006591788635355,failed
1111,CC-MAIN-2018-47,63033752,1.723677879092551,denied
1116,CC-MAIN-2018-47,172500818,4.717089411272395,skipped
1142,CC-MAIN-2018-51,3219306621,75.98526004075129,success
1143,CC-MAIN-2018-51,32755355,0.7731242967558642,notmodified
1145,CC-MAIN-2018-51,405334070,9.567095756402038,redirect
1148,CC-MAIN-2018-51,336602364,7.944822028454934,failed
1150,CC-MAIN-2018-51,63860093,1.5072890979624276,denied
1155,CC-MAIN-2018-51,178892966,4.2224087796734535,skipped
1181,CC-MAIN-2019-04,2941135435,74.96799802790991,success
1182,CC-MAIN-2019-04,41894460,1.0678677891827006,notmodified
1184,CC-MAIN-2019-04,365410946,9.314133158612838,redirect
1187,CC-MAIN-2019-04,346755275,8.838609899774085,failed
1189,CC-MAIN-2019-04,78077218,1.9901472932506055,denied
1194,CC-MAIN-2019-04,149914576,3.8212438312698613,skipped
1220,CC-MAIN-2019-09,2965203537,76.3865114464242,success
1221,CC-MAIN-2019-09,42989143,1.1074419084107097,notmodified
1223,CC-MAIN-2019-09,387934575,9.993569913140572,redirect
1226,CC-MAIN-2019-09,347563610,8.953574802654606,failed
1228,CC-MAIN-2019-09,71720497,1.8475893801801209,denied
1233,CC-MAIN-2019-09,66430446,1.7113125491897943,skipped
1259,CC-MAIN-2019-13,2614037004,76.18173398632392,success
1260,CC-MAIN-2019-13,28321635,0.8253866568553598,notmodified
1262,CC-MAIN-2019-13,361246817,10.52793394813788,redirect
1265,CC-MAIN-2019-13,309633058,9.023737315819575,failed
1267,CC-MAIN-2019-13,64466351,1.87876391781598,denied
1272,CC-MAIN-2019-13,53612417,1.5624441750472902,skipped
1298,CC-MAIN-2019-18,2541879921,76.3094918972486,success
1299,CC-MAIN-2019-18,30291091,0.9093654441056188,notmodified
1301,CC-MAIN-2019-18,351032580,10.538309696644507,redirect
1304,CC-MAIN-2019-18,286427988,8.598822489156921,failed
1306,CC-MAIN-2019-18,77951846,2.3401836221958066,denied
1311,CC-MAIN-2019-18,43430656,1.3038268506485406,skipped
1337,CC-MAIN-2019-22,2729146942,75.68369727193661,success
1338,CC-MAIN-2019-22,28583594,0.7926696954084137,notmodified
1340,CC-MAIN-2019-22,385343429,10.686201969320711,redirect
1343,CC-MAIN-2019-22,302573998,8.390870610363622,failed
1345,CC-MAIN-2019-22,105471841,2.924906226964833,denied
1350,CC-MAIN-2019-22,54870707,1.52165422600581,skipped
1376,CC-MAIN-2019-26,2632942767,77.91724468074996,success
1377,CC-MAIN-2019-26,20177097,0.5971051948415657,notmodified
1379,CC-MAIN-2019-26,304173431,9.001470121439299,redirect
1382,CC-MAIN-2019-26,256657097,7.595308973915109,failed
1384,CC-MAIN-2019-26,103907552,3.0749586564643128,denied
1389,CC-MAIN-2019-26,61294871,1.8139123725897552,skipped
1415,CC-MAIN-2019-30,2633907026,77.1102067919287,success
1416,CC-MAIN-2019-30,28082880,0.822153805254673,notmodified
1418,CC-MAIN-2019-30,312689313,9.154285762194599,redirect
1421,CC-MAIN-2019-30,272533844,7.978695094850792,failed
1423,CC-MAIN-2019-30,107291579,3.1410660141207867,denied
1428,CC-MAIN-2019-30,61264989,1.793592531650446,skipped
1454,CC-MAIN-2019-35,2996282936,77.53522779558897,success
1455,CC-MAIN-2019-35,21963694,0.568357546299029,notmodified
1457,CC-MAIN-2019-35,338960200,8.771319959430691,redirect
1460,CC-MAIN-2019-35,317267074,8.20996393867591,failed
1462,CC-MAIN-2019-35,111806502,2.893232310420892,denied
1467,CC-MAIN-2019-35,78134546,2.0218984495845103,skipped
1493,CC-MAIN-2019-39,2599795453,75.35835961296225,success
1494,CC-MAIN-2019-39,17663707,0.5120048897185291,notmodified
1496,CC-MAIN-2019-39,336325102,9.748808489581664,redirect
1499,CC-MAIN-2019-39,299578409,8.68365911312373,failed
1501,CC-MAIN-2019-39,116639474,3.38094268786259,denied
1506,CC-MAIN-2019-39,79907681,2.3162252067512443,skipped
1532,CC-MAIN-2019-43,3059287294,76.46913994554646,success
1533,CC-MAIN-2019-43,24576481,0.6143072501376079,notmodified
1535,CC-MAIN-2019-43,340555074,8.512424989946672,redirect
1538,CC-MAIN-2019-43,303888672,7.59592125676127,failed
1540,CC-MAIN-2019-43,121870260,3.0462369406814305,denied
1545,CC-MAIN-2019-43,150504450,3.7619696169265686,skipped
1571,CC-MAIN-2019-47,2628115182,76.94154847214736,success
1572,CC-MAIN-2019-47,14500798,0.4245300433722838,notmodified
1574,CC-MAIN-2019-47,291338314,8.529314530029867,redirect
1577,CC-MAIN-2019-47,296146524,8.670081238168486,failed
1579,CC-MAIN-2019-47,104905957,3.0712606627042827,denied
1584,CC-MAIN-2019-47,80722742,2.3632650535777184,skipped
1610,CC-MAIN-2019-51,2505464002,76.55441840519276,success
1611,CC-MAIN-2019-51,16926316,0.5171833544956711,notmodified
1613,CC-MAIN-2019-51,280132141,8.559433747097378,redirect
1616,CC-MAIN-2019-51,283626843,8.666214319037707,failed
1618,CC-MAIN-2019-51,105217675,3.214924624397613,denied
1624,CC-MAIN-2019-51,81421262,2.4878255497788717,skipped
1650,CC-MAIN-2020-05,3143769355,79.8585313639073,success
1651,CC-MAIN-2020-05,25246448,0.6413143051441365,notmodified
1653,CC-MAIN-2020-05,289421997,7.351943802133406,redirect
1656,CC-MAIN-2020-05,283266112,7.195571027978317,failed
1658,CC-MAIN-2020-05,102500036,2.6037222885607103,denied
1664,CC-MAIN-2020-05,92469193,2.348917212276121,skipped
1690,CC-MAIN-2020-10,2673682290,73.87788065699935,success
1691,CC-MAIN-2020-10,20074055,0.5546764644171843,notmodified
1693,CC-MAIN-2020-10,350414742,9.682488673674543,redirect
1696,CC-MAIN-2020-10,305360697,8.437577349664885,failed
1698,CC-MAIN-2020-10,110083507,3.0417735954895195,denied
1704,CC-MAIN-2020-10,159441274,4.405603259754521,skipped
1730,CC-MAIN-2020-16,2896755264,78.31749488985392,success
1731,CC-MAIN-2020-16,18674174,0.5048802517053932,notmodified
1733,CC-MAIN-2020-16,311225274,8.414374562119855,redirect
1736,CC-MAIN-2020-16,221458420,5.987412499844903,failed
1738,CC-MAIN-2020-16,96226896,2.6016175855118786,denied
1744,CC-MAIN-2020-16,154393273,4.174220210964056,skipped
1772,CC-MAIN-2020-24,2770235619,70.03348459789206,success
1773,CC-MAIN-2020-24,22629264,0.5720835444234583,notmodified
1775,CC-MAIN-2020-24,430846074,10.892088629787148,redirect
1778,CC-MAIN-2020-24,414463727,10.477931495125809,failed
1780,CC-MAIN-2020-24,102936869,2.602315694817702,denied
1786,CC-MAIN-2020-24,214475742,5.422096037953828,skipped
1814,CC-MAIN-2020-29,3079189122,73.87566003473201,success
1815,CC-MAIN-2020-29,21484094,0.5154446711825665,notmodified
1817,CC-MAIN-2020-29,422243022,10.130420935317225,redirect
1820,CC-MAIN-2020-29,357372437,8.574051029528054,failed
1822,CC-MAIN-2020-29,97612832,2.3419192865865837,denied
1828,CC-MAIN-2020-29,190168356,4.5625040426535675,skipped
1856,CC-MAIN-2020-34,2452118051,72.54388105303735,success
1857,CC-MAIN-2020-34,17324426,0.5125287905872309,notmodified
1859,CC-MAIN-2020-34,388456190,11.49215456008895,redirect
1862,CC-MAIN-2020-34,274970201,8.13476559431509,failed
1864,CC-MAIN-2020-34,104232778,3.0836403842694313,denied
1870,CC-MAIN-2020-34,143084271,4.233029617701942,skipped
1898,CC-MAIN-2020-40,3479666684,74.8927020320091,success
1899,CC-MAIN-2020-40,21422070,0.46106620291992345,notmodified
1901,CC-MAIN-2020-40,445984922,9.598912455522656,redirect
1904,CC-MAIN-2020-40,344486835,7.414373912948291,failed
1906,CC-MAIN-2020-40,109600157,2.3589190133081197,denied
1912,CC-MAIN-2020-40,245041952,5.274026383291911,skipped
1940,CC-MAIN-2020-45,2735297287,77.26549255987115,success
1941,CC-MAIN-2020-45,11505024,0.3249889328293473,notmodified
1943,CC-MAIN-2020-45,373459777,10.549329960712472,redirect
1946,CC-MAIN-2020-45,194385249,5.490910286695357,failed
1948,CC-MAIN-2020-45,113177141,3.196978839354579,denied
1954,CC-MAIN-2020-45,112303458,3.1722994205371,skipped
1982,CC-MAIN-2020-50,2642459905,77.3755523346184,success
1983,CC-MAIN-2020-50,14561039,0.4263710616986333,notmodified
1985,CC-MAIN-2020-50,343286198,10.05198191610827,redirect
1988,CC-MAIN-2020-50,207602914,6.07895321576366,failed
1990,CC-MAIN-2020-50,110376991,3.2320190090673124,denied
1996,CC-MAIN-2020-50,96822539,2.835122462743718,skipped
2024,CC-MAIN-2021-04,3409444621,79.20226652074425,success
2025,CC-MAIN-2021-04,23666907,0.54978827472079,notmodified
2027,CC-MAIN-2021-04,394433417,9.162788691596072,redirect
2030,CC-MAIN-2021-04,257887248,5.990786423862336,failed
2032,CC-MAIN-2021-04,110730976,2.572308762323239,denied
2038,CC-MAIN-2021-04,108567959,2.522061326753321,skipped
2066,CC-MAIN-2021-10,2734510630,79.83695364516497,success
2067,CC-MAIN-2021-10,12320903,0.3597219008351684,notmodified
2069,CC-MAIN-2021-10,326310515,9.526983429567032,redirect
2072,CC-MAIN-2021-10,181747724,5.306318599354736,failed
2074,CC-MAIN-2021-10,100986517,2.9484090455028378,denied
2080,CC-MAIN-2021-10,69242663,2.021613379575262,skipped
2108,CC-MAIN-2021-17,3127001582,79.7520946541044,success
2109,CC-MAIN-2021-17,14621976,0.37292376847350206,notmodified
2111,CC-MAIN-2021-17,328249320,8.371780490767081,redirect
2114,CC-MAIN-2021-17,186097365,4.746289465855286,failed
2116,CC-MAIN-2021-17,118353077,3.01851647720353,denied
